Participant No.,Day 1,Day 2,Day 3,Why did you choose [XXX] options the past 3 days?
1,Easy,Easy ,Easy ,"- same everyday never think so much"
2,Easy,Easy ,Easy ,- easy good enough
3,Easy,Medium,Medium,"- same everyday never think so much"
4,Easy,Easy ,Easy ,"- same everyday never think so much"
5,Easy,Easy ,Easy ,- easy good enough
6,Medium,Medium,Medium,"- same everyday never think so much"
7,Medium,Medium,Hard,"- same everyday never think so much"
8,Easy,Easy ,Medium,- easy good enough
9,Easy,Medium,Medium,"- doesnt matter just press"
10,Easy,Easy ,Easy ,- easy good enough
